price,datetime
432.87136936,2020-08-15 23:59:59.999
433.786609983,2020-08-16 23:59:59.999
429.531252334,2020-08-17 23:59:59.999
423.669315654,2020-08-18 23:59:59.999
406.463786824,2020-08-19 23:59:59.999
416.439794883,2020-08-20 23:59:59.999
389.126350308,2020-08-21 23:59:59.999
395.835141215,2020-08-22 23:59:59.999
391.384499842,2020-08-23 23:59:59.999
408.144207149,2020-08-24 23:59:59.999
384.001043035,2020-08-25 23:59:59.999
386.466124211,2020-08-26 23:59:59.999
382.632632123,2020-08-27 23:59:59.999
395.874666093,2020-08-28 23:59:59.999
399.921471038,2020-08-29 23:59:59.999
428.395717595,2020-08-30 23:59:59.999
435.079745266,2020-08-31 23:59:59.999
477.051924154,2020-09-01 23:59:59.999
440.040506887,2020-09-02 23:59:59.999
385.671928369,2020-09-03 23:59:59.999
388.241140415,2020-09-04 23:59:59.999
335.260079079,2020-09-05 23:59:59.999
353.362265679,2020-09-06 23:59:59.999
352.673494754,2020-09-07 23:59:59.999
337.602111896,2020-09-08 23:59:59.999
351.110016528,2020-09-09 23:59:59.999
368.101907072,2020-09-10 23:59:59.999
374.695588755,2020-09-11 23:59:59.999
387.183109613,2020-09-12 23:59:59.999
365.570005047,2020-09-13 23:59:59.999
377.268875067,2020-09-14 23:59:59.999
364.83921823,2020-09-15 23:59:59.999
365.812291316,2020-09-16 23:59:59.999
389.019219686,2020-09-17 23:59:59.999
384.364541978,2020-09-18 23:59:59.999
385.544383604,2020-09-19 23:59:59.999
371.052826188,2020-09-20 23:59:59.999
341.78607406,2020-09-21 23:59:59.999
344.503162317,2020-09-22 23:59:59.999
321.11631734,2020-09-23 23:59:59.999
349.35558514,2020-09-24 23:59:59.999
352.18324474,2020-09-25 23:59:59.999
355.48809037,2020-09-26 23:59:59.999
357.43849724,2020-09-27 23:59:59.999
355.15942359,2020-09-28 23:59:59.999
359.75739393,2020-09-29 23:59:59.999
359.93787376,2020-09-30 23:59:59.999
353.20591482,2020-10-01 23:59:59.999
346.2389138,2020-10-02 23:59:59.999
346.52208572,2020-10-03 23:59:59.999
352.5790067,2020-10-04 23:59:59.999
353.95677154,2020-10-05 23:59:59.999
340.81584538,2020-10-06 23:59:59.999
341.80866898,2020-10-07 23:59:59.999
350.76615934,2020-10-08 23:59:59.999
365.59047723,2020-10-09 23:59:59.999
370.96758819,2020-10-10 23:59:59.999
375.14204941,2020-10-11 23:59:59.999
387.7312655,2020-10-12 23:59:59.999
381.19076126,2020-10-13 23:59:59.999
379.48403791,2020-10-14 23:59:59.999
377.44184574,2020-10-15 23:59:59.999
366.22901728,2020-10-16 23:59:59.999
368.85594038,2020-10-17 23:59:59.999
378.21369795,2020-10-18 23:59:59.999
379.93560927,2020-10-19 23:59:59.999
369.13691491,2020-10-20 23:59:59.999
392.18996695,2020-10-21 23:59:59.999
413.77299269,2020-10-22 23:59:59.999
409.76669164,2020-10-23 23:59:59.999
412.45761883,2020-10-24 23:59:59.999
406.2177613,2020-10-25 23:59:59.999
393.88831313,2020-10-26 23:59:59.999
403.99704505,2020-10-27 23:59:59.999
388.65077072,2020-10-28 23:59:59.999
386.7301135,2020-10-29 23:59:59.999
382.81999199,2020-10-30 23:59:59.999
386.59033529,2020-10-31 23:59:59.999
396.35818693,2020-11-01 23:59:59.999
383.15673256,2020-11-02 23:59:59.999
387.60217328,2020-11-03 23:59:59.999
402.14199843,2020-11-04 23:59:59.999
414.06733818,2020-11-05 23:59:59.999
454.71929029,2020-11-06 23:59:59.999
435.71313513,2020-11-07 23:59:59.999
453.55478553,2020-11-08 23:59:59.999
444.16305707,2020-11-09 23:59:59.999
